SummaryNr,Degree,Nature,Occupation,FallDist,Cause,FatCause,TaskAssigned,HumanFactor,EnvironmentFactor,EventType,SourceInjury,PartBody,ProjType, ProjCost,EndUse
201169893,1,0,2,1,0,2,1,2,2,1,5,2,2,4,2
202465241,2,2,3,2,0,5,1,3,2,1,5,1,2,1,1
202454005,1,1,0,3,1,1,1,2,2,1,5,2,2,2,1
200742286,2,2,1,3,0,4,1,4,1,1,1,2,2,3,2
200332005,2,2,1,3,1,1,1,5,2,1,1,3,3,1,0
202474458,1,1,2,2,2,1,1,3,1,1,1,2,1,2,3
200713337,2,4,1,2,2,3,1,0,1,1,1,1,1,5,4
201126430,3,4,0,1,0,4,1,2,1,1,2,0,1,2,2
201203734,1,4,1,1,0,0,1,6,1,1,2,3,1,6,4
202260774,1,4,1,3,0,3,1,2,1,1,1,3,2,4,3
202485884,1,1,0,1,0,4,1,2,1,1,1,0,2,4,2
201407962,2,1,3,1,0,2,1,0,3,1,3,1,1,2,1
202526851,1,1,1,2,1,1,1,1,1,0,1,0,1,3,2
202517041,1,0,2,1,0,2,1,4,4,1,5,5,2,1,2
202474409,1,1,0,2,4,1,1,0,1,1,2,4,2,1,2
202501003,1,1,0,3,0,3,1,1,1,1,2,0,2,2,4
200774875,1,1,1,1,0,2,1,4,1,1,3,4,0,1,3
202079018,2,2,2,2,0,6,1,1,2,1,4,1,1,5,2
200170868,2,2,1,3,0,3,1,5,1,1,1,2,1,7,4
201089604,2,3,0,2,0,1,1,1,2,1,1,3,2,1,1
201781044,2,1,1,2,0,1,1,3,2,1,1,3,2,1,2
201169349,1,1,1,1,2,1,2,2,2,1,4,0,1,6,4
200924942,2,3,1,2,0,0,1,1,4,1,2,1,1,4,1
202506069,1,1,2,1,2,2,1,4,4,1,5,0,1,6,3
201622388,1,1,2,2,2,1,1,1,1,1,5,4,1,4,2
200271773,2,3,3,1,0,4,1,3,1,1,1,1,1,1,3
201353463,2,0,0,1,0,2,2,4,1,1,1,2,3,1,4
201862943,2,2,1,2,2,4,1,2,2,1,4,1,1,2,2
200643930,2,0,1,1,1,0,1,1,1,0,0,2,2,4,4
200651354,3,0,1,1,0,4,1,2,2,1,1,0,1,4,1
202527222,3,0,3,1,0,2,1,0,2,1,3,1,3,2,4
201169042,2,3,3,2,0,6,1,3,1,1,1,1,2,4,1
200202968,2,2,1,2,4,5,1,3,2,1,5,1,1,6,0
202447546,1,1,0,1,0,5,2,2,1,1,1,0,1,3,1
200784304,2,2,3,3,2,6,2,3,1,1,2,2,1,3,4
201702347,1,2,1,2,0,2,1,6,1,1,3,3,1,5,2
201702347,1,0,1,2,0,2,1,6,1,1,3,4,1,5,2
201702347,1,2,1,2,0,4,1,6,1,1,1,3,1,5,2
201043288,1,0,1,1,0,0,1,0,0,0,2,0,2,2,1
