SummaryNr,Degree,Nature,Occupation,FallDist,Cause,FatCause,TaskAssigned,HumanFactor,EnvironmentFactor,EventType,SourceInjury,PartBody,ProjType, ProjCost,EndUse
170787840,1,1,3,1,1,1,1,1,1,1,1,2,1,1,1
170618631,1,1,2,1,2,1,1,1,1,1,2,4,1,2,2
170872980,2,2,3,3,1,1,2,5,1,1,2,3,1,7,3
170701577,2,2,3,3,1,1,1,5,1,1,1,1,2,2,1
170618094,1,1,2,2,2,1,1,1,1,1,2,3,1,1,2
201520285,1,4,1,2,1,1,1,2,2,1,2,4,2,2,3
201520285,1,1,1,2,1,1,1,2,2,1,2,5,2,2,3
201091253,1,3,2,2,1,1,2,3,2,1,2,3,3,1,3
202287926,2,1,1,2,2,4,2,4,1,1,1,1,1,3,2
000655811,1,1,1,2,2,3,1,1,1,1,1,2,1,2,2
170758841,2,3,4,2,1,1,2,1,1,1,1,2,1,3,1
000665695,1,1,4,2,1,1,1,1,1,1,1,2,3,1,3
201480712,1,1,2,1,2,3,1,7,4,1,5,1,1,3,2
200000370,2,3,1,2,2,3,1,1,2,1,5,1,1,1,1
201981065,2,3,1,1,1,2,1,7,2,1,3,1,2,2,1
201951126,2,1,1,2,1,2,2,2,1,1,3,1,2,1,2
201790409,1,1,2,1,2,2,1,2,2,1,3,3,1,5,2
170250971,2,4,1,3,1,1,1,1,1,1,1,1,3,1,3
201360377,2,4,4,2,3,1,1,1,1,1,1,1,1,2,1
201360369,2,2,4,2,1,1,2,1,1,1,1,2,1,2,3
000880856,2,2,1,3,1,5,2,6,2,1,4,2,2,3,3
200270205,2,2,2,2,1,1,1,3,1,1,1,1,1,5,1
201270360,2,3,1,3,1,1,2,5,1,1,5,1,1,2,1
170726301,2,2,2,2,1,1,1,2,2,1,1,1,1,2,1
200640530,2,3,1,3,1,1,1,3,1,1,2,3,1,4,3
170886998,1,1,2,2,2,1,1,2,1,1,1,2,1,6,4
201080355,1,1,3,2,1,1,1,6,1,1,2,2,1,2,1
170758346,2,1,2,3,2,4,1,1,4,1,2,3,1,3,4
000817742,2,3,2,2,2,3,1,7,1,1,1,1,1,2,2
000568261,2,1,1,3,1,1,1,3,2,1,2,2,1,6,1
171054034,1,2,2,3,1,1,1,3,2,1,5,2,3,2,4
200603330,2,2,1,3,4,1,1,5,2,1,2,3,1,5,3
201701992,2,3,1,1,2,2,1,2,1,1,3,1,1,2,2
200673721,2,4,3,3,2,5,1,1,2,1,1,3,1,3,3
170869275,3,3,4,1,1,1,2,1,2,1,1,1,3,1,2
000880930,2,1,1,1,4,5,1,7,2,1,5,1,1,3,3
202588604,1,2,4,2,1,2,1,1,2,1,3,3,3,1,4
200171189,2,1,4,2,1,1,1,2,1,1,1,1,3,5,4
202651519,1,3,4,1,1,1,1,1,1,1,2,1,1,5,2
201204989,1,1,1,2,1,1,1,1,2,1,4,5,1,4,2
202556973,1,1,2,2,2,3,1,2,2,1,1,2,1,5,2
202657771,1,1,3,2,1,1,1,4,1,1,2,4,1,4,2
202657896,1,1,3,2,2,4,1,4,1,1,1,2,1,6,3
201408598,2,4,4,3,1,1,1,2,2,1,4,1,1,6,1
201615416,1,1,3,1,1,1,1,4,1,1,1,4,1,2,1
202570040,2,2,1,3,1,1,1,2,2,1,4,1,3,2,1
202614566,1,1,1,2,1,1,1,1,1,1,1,1,1,4,2
200042075,2,2,1,2,1,6,1,6,1,1,2,1,1,3,1
202673067,1,4,1,2,2,4,1,1,2,1,2,3,2,2,2
202656765,1,1,2,1,2,2,1,4,2,1,3,5,1,6,2
202614491,1,1,1,2,1,1,1,1,1,1,2,4,2,1,1
200626588,2,2,3,2,1,1,2,1,1,1,1,2,3,1,2
202531463,1,3,1,2,1,1,1,3,1,1,1,1,2,1,1
201129194,1,1,3,2,1,1,1,1,1,1,1,5,3,2,1
200678696,2,2,1,3,1,1,1,5,2,1,1,1,3,1,2
202522314,1,1,4,1,1,1,1,1,2,1,5,4,2,1,2
200926210,2,1,4,3,1,2,1,2,2,1,3,1,1,3,4
202554358,1,1,4,2,1,1,1,3,1,1,1,5,3,4,1
200213064,2,3,1,3,1,1,2,1,1,1,1,1,3,1,1
201764081,2,2,1,2,3,2,1,4,1,1,1,2,1,5,3
202081295,2,2,4,2,1,1,1,1,1,1,1,3,3,1,3
202081253,1,4,4,2,1,1,1,3,2,1,2,4,2,1,2
202493029,1,2,4,1,1,1,1,2,1,1,2,2,3,1,2
201764073,2,4,1,3,1,1,1,1,2,1,1,1,2,7,1
200714319,2,1,3,3,1,1,1,3,1,1,2,1,3,4,4
202553673,1,3,4,2,1,1,1,1,2,1,4,1,3,1,2
201408457,2,3,3,3,1,2,1,1,1,1,3,1,2,2,1
202634994,1,1,3,1,1,2,1,2,2,1,3,5,3,1,1
202614145,1,3,4,1,1,1,1,1,2,1,2,1,3,1,2
200922623,2,2,4,3,1,1,1,4,2,1,1,2,2,1,2
202081196,2,2,4,3,1,1,1,1,1,1,2,3,3,1,1
200542249,2,1,1,2,1,1,1,5,2,1,2,3,2,1,2
201283512,2,2,1,3,1,1,1,3,2,1,2,2,1,3,2
202457354,1,3,3,2,1,1,1,3,1,1,1,1,2,1,2
201345923,1,2,3,1,2,3,1,5,1,1,1,3,1,4,2
202561262,2,3,4,3,1,1,1,3,1,1,1,1,3,1,4
200375624,1,2,4,2,1,1,1,1,1,1,4,3,1,1,1
200359370,1,1,4,2,1,2,1,2,2,1,3,2,1,2,2
202508792,1,1,2,1,2,4,1,3,1,1,2,4,1,3,3
201408390,2,2,3,1,1,2,1,1,2,1,4,2,1,3,4
200604791,2,2,4,2,1,1,1,1,1,1,2,1,3,2,2
200074730,1,1,1,1,4,2,1,1,1,1,2,5,1,7,3
200645083,2,2,3,3,1,1,1,4,1,1,1,2,1,7,3
200359321,1,1,4,3,1,1,1,6,1,1,1,2,1,3,1
201345758,2,2,4,2,1,1,1,1,1,1,1,2,3,1,2
202635637,2,1,1,3,2,3,1,1,2,1,2,1,1,3,3
202612990,1,1,4,2,1,4,1,2,2,1,4,5,2,4,2
200534253,2,2,4,3,1,1,1,1,2,1,1,1,1,3,1
202080990,1,2,4,2,1,1,1,2,2,1,1,1,3,1,2
200981140,2,1,1,2,1,1,1,1,1,1,5,1,3,1,1
202633822,1,1,4,1,1,1,1,2,2,1,4,5,3,1,1
202457057,2,2,4,3,1,6,1,5,2,1,2,1,3,4,1
200678282,2,1,1,2,1,1,1,5,1,1,1,1,3,1,1
200272250,2,1,4,1,2,2,1,2,2,1,3,1,3,1,3
200462604,2,2,1,3,1,1,1,3,2,1,4,1,3,1,4
201956281,1,1,1,3,1,1,1,3,1,1,2,4,1,4,4
202494225,2,4,1,3,3,3,1,3,1,1,1,2,2,3,1
202494225,2,4,1,3,3,3,1,3,1,1,1,2,2,3,1
202457081,1,1,3,3,1,1,2,6,1,1,2,2,3,4,1
202494209,2,2,1,3,1,1,1,2,1,1,4,3,1,7,4
201523750,1,1,2,1,2,2,1,7,2,1,3,1,1,3,1
202612537,2,2,1,3,1,1,1,5,1,1,2,2,1,5,2
202627840,1,1,4,2,1,6,1,5,1,1,1,2,3,1,1
200902526,2,3,3,2,3,5,1,7,3,1,5,3,1,7,3
201371424,2,2,1,2,1,1,1,3,1,1,2,1,1,1,2
201523701,1,2,4,2,1,2,2,3,2,1,3,1,2,1,4
202507968,1,3,3,2,2,4,1,2,2,1,1,1,1,4,2
200644938,2,2,1,3,1,1,1,7,1,1,1,3,2,4,1
202005427,2,2,4,2,1,1,1,3,2,1,2,2,3,1,2
201773629,2,2,1,3,1,1,1,2,1,1,5,2,2,2,1
200613321,1,1,1,2,2,1,1,3,2,1,2,2,1,5,4
200033702,2,1,4,3,1,1,2,7,1,1,1,2,3,1,1
200604676,2,3,1,1,4,1,1,5,1,1,2,1,2,1,4
202080636,2,2,4,3,1,1,1,3,1,1,1,1,3,1,1
201354099,2,2,1,3,1,1,1,5,1,1,1,3,2,1,1
200758993,2,1,1,2,1,1,1,5,1,1,2,1,2,1,2
202089413,1,2,1,3,3,3,1,5,1,1,2,2,1,2,3
201044476,1,3,1,1,4,2,1,4,2,1,3,1,2,3,1
201523586,1,1,4,2,1,4,1,1,1,1,1,1,2,1,2
200625812,2,2,1,2,2,4,1,5,1,1,5,1,2,1,1
201262771,1,1,1,2,1,1,1,2,3,1,1,2,2,1,2
201262771,3,1,1,2,1,1,1,2,3,1,1,2,2,1,2
200713907,2,2,1,3,1,1,1,1,2,1,1,1,3,1,1
202541702,1,3,1,1,4,2,1,2,2,1,3,1,2,2,1
200776060,1,1,1,2,1,1,1,3,1,1,1,2,2,1,4
200881738,1,2,1,3,1,4,1,3,1,1,1,2,1,7,3
200881738,1,2,1,3,1,4,1,3,1,1,1,2,1,7,3
200881738,3,2,1,3,1,4,1,3,1,1,1,2,1,7,3
200881738,3,2,1,3,1,4,1,3,1,1,1,2,1,7,3
200881738,3,2,1,3,1,4,1,3,1,1,1,2,1,7,3
200002988,2,3,4,3,1,1,1,4,4,1,2,2,3,3,1
202541462,1,1,1,2,1,4,1,1,1,1,1,1,1,5,4
202600300,3,4,1,1,1,2,1,1,2,1,3,4,3,1,2
201363520,2,3,1,3,4,1,1,5,1,1,5,1,1,1,3
200784890,2,2,4,2,1,1,1,5,1,1,2,2,3,1,1
200203388,2,2,1,1,1,2,1,2,2,1,3,2,3,2,4
200083723,3,4,1,2,2,2,1,1,1,1,3,2,3,1,2
200123099,2,2,1,3,2,3,1,2,1,1,1,1,1,6,1
200775856,2,3,4,2,1,1,2,1,4,1,4,1,3,1,2
201283215,2,2,4,3,1,1,1,4,2,1,2,1,3,1,2
200033553,2,1,2,2,2,2,1,1,3,1,1,1,1,2,2
202599395,2,2,4,2,1,1,1,3,1,1,2,3,3,1,2
200358208,2,2,4,2,1,1,2,5,1,1,2,1,3,1,1
200023604,2,3,4,3,1,1,1,3,2,1,1,2,3,1,2
200033512,2,3,4,2,1,1,2,1,2,1,2,1,3,1,1
201925005,2,3,1,2,1,2,1,1,1,1,2,1,3,1,4
201924982,2,2,1,2,1,1,1,1,2,1,2,1,3,1,4
202599429,1,4,3,2,1,1,1,3,1,1,2,3,3,1,1
202609095,1,2,2,2,2,5,1,2,2,1,1,4,1,5,3
200677920,2,1,1,1,4,4,1,2,2,1,4,1,2,2,1
201074275,1,1,4,1,1,1,1,2,2,1,4,4,3,1,2
200541910,2,1,1,3,1,1,1,2,2,1,4,3,1,5,3
200775716,1,4,1,1,1,4,1,4,1,1,1,3,2,1,2
200604288,2,2,1,2,2,1,1,5,1,1,1,1,1,5,2
201924909,2,4,4,3,1,1,1,1,1,1,2,3,3,2,1
202014718,2,1,4,2,1,1,1,5,1,1,1,1,2,1,3
201408176,2,2,3,2,1,1,1,3,1,1,1,1,2,1,2
200925709,2,2,3,3,1,1,1,1,2,1,5,1,2,1,3
202489076,1,1,4,2,1,1,1,1,1,1,4,5,3,1,2
200784734,2,4,1,3,1,2,1,2,1,1,2,1,3,1,4
200677821,2,3,4,1,1,1,1,3,1,1,2,1,3,2,4
200002863,2,3,1,1,4,2,1,1,2,1,3,1,1,3,3
201773389,2,1,1,2,4,2,1,2,2,1,3,1,1,5,1
